       (NOTAS)  Per�odo: 01/01/2026 at� 16/03/2026   Gera��o: 16/03/2026 10:56:26
 
Cli_For;Canc;Filial;Comp;Numero;Inclusao;Emissao;Ent/Saida;OP Fiscal;C�digo;Cliente/Fornecedor;CNPJ;CPF;UF;Total Bruto;Total Desconto;Frete;Total Despesa;Total Nota;BC Icms;Valor Icms;BC ST;Valor ST;BC Ipi;Valor Ipi;Valor IPI Devolvido;BC Pis/Cofins;Valor Pis;Valor Cofins;Valor FCP;BC FCP;Valor FCP ST;BC FCP ST;BC FCP ST Retido;Valor ST Retido;BC ST Retido;Valor FCP ST Retido;BC ICMS Efetivo;Valor ICMS Efetivo;Valor ICMS Substituto;Chave NF-e;Chave CTE;Num Documento
F;N;00;010;248632;05/01/2026;05/01/2026;05/01/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;1.800,00000;,00000;,00000;,00000;1.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;000970;05/01/2026;05/01/2026;30/12/1899;S;000194;INSTITUTO DE ONCOLOGIA DO NORDESTE IONE;10988301/0009-86;00000000000;PE;5.950,00000;,00000;,00000;,00000;5.950,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009701498794331;;
C;N;00;001;000971;05/01/2026;05/01/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;8.799,48000;218,18000;,00000;,00000;8.581,30000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009711766603169;;
F;N;00;010;248795;07/01/2026;07/01/2026;07/01/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;81.388,00000;,00000;,00000;,00000;81.388,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;000972;07/01/2026;07/01/2026;30/12/1899;S;000584;CLIONCOL;00508745/0001-66;00000000000;PB;3.260,00000;,00000;,00000;,00000;3.260,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009721184872881;;
C;N;00;001;000973;07/01/2026;07/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;4.290,00000;,00000;,00000;,00000;4.290,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009731715512080;;
C;N;00;001;000974;07/01/2026;07/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;21.785,00000;,00000;,00000;,00000;21.785,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009741661877759;;
F;N;00;010;279004;08/01/2026;07/01/2026;08/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;6.451,61000;451,61000;,00000;,00000;6.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790046
F;N;00;010;279015;08/01/2026;07/01/2026;08/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;6.451,61000;451,61000;,00000;,00000;6.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790151
F;N;00;010;279028;08/01/2026;07/01/2026;08/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;59.021,50000;1.611,50000;,00000;,00000;57.410,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790287
